accuracy,precision,recall,f1
0.9113837764144512,0.9902912621359224,0.4415584415584415,0.6107784431137725
0.9705676243868256,0.5625,0.391304347826087,0.4615384615384615
0.9604635310156784,0.6129032258064516,0.2923076923076923,0.3958333333333333
0.972733469665985,0.7142857142857143,0.1162790697674418,0.2
0.9432375613174492,0.5675675675675675,0.2441860465116279,0.3414634146341463
0.979677645409951,0.375,0.1111111111111111,0.1714285714285714
0.9570552147239264,0.4545454545454545,0.0806451612903225,0.136986301369863
0.9502452697967764,0.484375,0.4492753623188406,0.4661654135338346
0.9481935923653716,0.8333333333333334,0.119047619047619,0.2083333333333333
0.8913805185704274,0.9230769230769232,0.072289156626506,0.1340782122905028
0.9481429572529784,0.8333333333333334,0.1219512195121951,0.2127659574468084
0.9446391030133148,0.5645161290322581,0.4022988505747126,0.4697986577181208
0.9320252277505257,0.7894736842105263,0.1388888888888889,0.2362204724409449
0.8626489138051857,0.6053639846743295,0.6294820717131474,0.6171875
0.9215136650315346,0.7282608695652174,0.435064935064935,0.5447154471544715
0.94546693933197,0.6511627906976745,0.3010752688172043,0.411764705882353
0.9278206026629292,0.8320610687022901,0.5736842105263158,0.6791277258566978
0.9390329362298528,0.7142857142857143,0.5426356589147286,0.6167400881057268
0.9338786639400136,0.6461538461538462,0.3620689655172414,0.4640883977900552
0.913104414856342,0.6190476190476191,0.1007751937984496,0.1733333333333333
0.9413769597818678,0.5,0.0465116279069767,0.0851063829787234
0.9705676243868256,0.0,0.0,0.0
0.9229152067274,0.4545454545454545,0.3398058252427184,0.3888888888888889
0.937968643490116,0.5869565217391305,0.2727272727272727,0.3724137931034482
0.8820722563053851,0.6,0.0677966101694915,0.1218274111675126
0.9754730203223546,0.5384615384615384,0.1944444444444444,0.2857142857142857
0.9693251533742332,0.0,0.0,0.0
0.936229852838122,0.4137931034482758,0.1395348837209302,0.208695652173913
0.9011588275391956,0.6571428571428571,0.2754491017964072,0.3881856540084388
0.9222144358794674,0.632258064516129,0.6447368421052632,0.6384364820846905
0.9502385821404228,0.8888888888888888,0.1,0.1797752808988764
0.9393319700068168,0.9565217391304348,0.3358778625954198,0.4971751412429379
0.974772249474422,0.8461538461538461,0.2444444444444444,0.3793103448275862
0.8794674141555712,0.6376811594202898,0.2303664921465968,0.3384615384615384
0.9263803680981596,0.5185185185185185,0.128440366972477,0.2058823529411765
0.9404344779257184,0.3333333333333333,0.1184210526315789,0.174757281553398
0.9152067274001402,0.3365384615384615,0.4022988505747126,0.3664921465968587
0.9523475823405746,0.6461538461538462,0.4827586206896552,0.5526315789473685
0.8843728100911002,0.5423728813559322,0.188235294117647,0.2794759825327511
