accuracy,precision,recall,f1
0.918200408997955,0.9236641221374046,0.5238095238095238,0.6685082872928177
0.9635599159074982,0.42105263157894735,0.34782608695652173,0.380952380952381
0.9529652351738241,0.4,0.12307692307692308,0.18823529411764708
0.9747784594410361,0.7142857142857143,0.23255813953488372,0.3508771929824562
0.9425367904695164,0.5555555555555556,0.23255813953488372,0.3278688524590164
0.9768745620182201,0.3333333333333333,0.2222222222222222,0.26666666666666666
0.9577368779822768,0.0,0.0,0.0
0.9586545199719692,0.8125,0.18840579710144928,0.3058823529411765
0.9434219495569189,0.6,0.03571428571428571,0.06741573033707865
0.8906797477224947,0.6923076923076923,0.10843373493975904,0.18749999999999997
0.9453398738612474,0.8333333333333334,0.06097560975609756,0.11363636363636363
0.9425367904695164,0.7272727272727273,0.09195402298850575,0.163265306122449
0.9271198318149965,0.7,0.06481481481481481,0.11864406779661017
0.8556412053258584,0.6717557251908397,0.350597609561753,0.4607329842931938
0.8997897687456202,0.5369127516778524,0.5194805194805194,0.5280528052805281
0.9372869802317655,0.5454545454545454,0.06451612903225806,0.11538461538461539
0.9166082690960056,0.6983240223463687,0.6578947368421053,0.6775067750677507
0.897687456201822,0.44370860927152317,0.5193798449612403,0.4785714285714286
0.9325153374233128,0.84,0.1810344827586207,0.2978723404255319
0.9138051857042747,0.5241935483870968,0.5038759689922481,0.5138339920948617
0.9366053169734151,0.3793103448275862,0.12790697674418605,0.19130434782608696
0.9698668535388928,0.4,0.047619047619047616,0.0851063829787234
0.9201121233356693,0.42857142857142855,0.32038834951456313,0.36666666666666664
0.9331970006816632,1.0,0.010101010101010102,0.02
0.9011588275391956,0.6159420289855072,0.480225988700565,0.5396825396825397
0.9761737911702874,1.0,0.05555555555555555,0.10526315789473684
0.9693251533742331,0.0,0.0,0.0
0.9404344779257183,0.5384615384615384,0.08139534883720931,0.1414141414141414
0.9011588275391956,0.6964285714285714,0.23353293413173654,0.3497757847533633
0.8934828311142257,0.5,0.6118421052631579,0.5502958579881656
0.9468302658486708,0.75,0.0375,0.07142857142857142
0.9222903885480572,0.5620437956204379,0.5877862595419847,0.5746268656716417
0.9712683952347583,0.6666666666666666,0.17777777777777778,0.2807017543859649
0.8647512263489839,0.47058823529411764,0.08376963350785341,0.14222222222222222
0.9216087252897068,0.42105263157894735,0.14678899082568808,0.21768707482993196
0.9467414155571128,0.5,0.013157894736842105,0.025641025641025637
0.9397337070777856,0.6666666666666666,0.022988505747126436,0.044444444444444446
0.9432375613174492,0.5681818181818182,0.28735632183908044,0.3816793893129771
0.8864751226348984,0.5625,0.21176470588235294,0.30769230769230765
