cell_line,mae,mse,r2,evs,pearsonr
A2058,9.755611147597522,185.01747519318585,0.6445847425599099,0.6450006663906842,0.8099753738557561
A2780,8.995853615289699,178.8589031232351,0.6212197117963245,0.6293505352051298,0.7941121639389892
A375,12.776621380133884,321.0447134588969,0.5225885631253624,0.5467353751165189,0.7425187215011783
A427,8.839152641380164,127.60400669598252,0.6374131104124034,0.6377575202124982,0.8057405735589585
CAOV3,11.655242462291323,241.82757134471052,0.7041103496322493,0.7059357608714654,0.8424623330532754
COLO320DM,8.925868691870662,191.79455620980266,0.3608903007965991,0.3879089347695174,0.6362875864374218
DLD1,5.62152974807854,59.052252079877064,0.5401395311769474,0.545348408622436,0.7467024762343837
EFM192B,11.118170392730992,225.70516079038305,0.44900840048801083,0.47342860895345606,0.7111058433116756
ES2,9.191857782290496,167.33944874039386,0.41227154970185864,0.4130162054223261,0.6618925541024493
HCT116,9.506859928161985,178.68285174789187,0.40384247301167875,0.41565133937139254,0.6727657421468143
HT144,11.955894886422318,329.1098756077394,0.29401466055668035,0.3128163063722833,0.5940421550139141
HT29,8.155428655761984,154.64816147419643,0.5937781074145707,0.6101682452489174,0.7861198084973346
KPL1,7.652890415527897,98.71538218226121,0.6855064336885572,0.6914594909281242,0.8319727998080515
LNCAP,21.77391332716738,894.1485536451999,0.31907718328356993,0.32045741908073144,0.6238358758395615
LOVO,8.968821323908678,143.02009564206134,0.5464927706809011,0.5563360924448164,0.7548673746904238
MDAMB436,6.7764731381330465,88.54339117773814,0.5102099100546373,0.5113540564142867,0.7168732510526001
MSTO,17.578805760386267,549.694908017061,0.5517420543692942,0.5518500083134078,0.7577230377907288
NCIH1650,9.689727257010745,178.8933952198366,0.507845804381154,0.5179844077664549,0.737148838441601
NCIH2122,14.802031583730166,735.0832943009602,0.3862403137616519,0.4068029303840671,0.6607444869447944
NCIH23,15.660493665003308,865.7760330391648,0.4458257828947174,0.45113695680745525,0.6723609187445319
NCIH460,10.290240599171673,234.28764638861023,0.45913830502169284,0.47073276034573996,0.6861062660415297
NCIH520,8.575597135764808,127.99766173605686,0.6379191428840085,0.6575761084746108,0.8114454381516913
OCUBM,10.235009303410303,206.92814406639587,0.40886629970646726,0.40981234474615647,0.6512072641866321
OV90,7.217620842633906,151.58266912887038,0.5770428310007416,0.5789827173728579,0.7613564566199904
OVCAR3,12.373597205472533,245.9321780201123,0.673134364238477,0.6911313087526414,0.8315337307215787
PA1,9.248574609608264,171.4612209494926,0.5603684601310405,0.5690163099464836,0.760525923745144
RKO,9.207049006258368,153.3062827855563,0.5588865870764985,0.5592307926198024,0.7478196157295292
RPMI7951,8.971674437888412,233.70891489013272,0.3713336677226562,0.3854827917436544,0.6214629864710361
SKMEL30,9.057029112403866,138.06495713650355,0.6237661392796727,0.6243792485023343,0.7902564459927336
SKMES1,8.929634249104721,154.88929769289058,0.49931876191585767,0.49963952891126906,0.7168601492325353
SKOV3,8.863796396317595,140.53998316225255,0.5269864336780403,0.5307312685393502,0.7319718482179123
SW620,7.498269271912811,105.33845140662156,0.5901413822726632,0.6105920547323649,0.7814040931058905
SW837,11.455612441560513,225.6910303379602,0.5685013048839856,0.569102746498872,0.7646628632994683
T47D,16.282158393675964,470.342842052904,0.6298980892108678,0.6299033241318186,0.7939128823132773
UACC62,8.773090590053219,146.99605524858484,0.43334150092381674,0.4343097851097514,0.6655689556986477
UWB1289,10.094694083975966,225.63594517160206,0.6013867249761851,0.6015978993458081,0.7756992186323093
UWB1289BRCA1,8.022763421315021,108.13135477138619,0.487724301879363,0.5221704806471359,0.7378069713775068
VCAP,10.009629519914164,174.94186555062493,0.5365537943443257,0.5399638801091868,0.7437575798187062
ZR751,11.38146034369485,208.43032263738505,0.665165912793529,0.6742789847693678,0.8221182460493677
