,accuracy,precision,recall,f1
count,39.0,39.0,39.0,39.0
mean,0.9861692897406417,0.922182271281639,0.8662023307045036,0.8924808973766122
std,0.006874252476965696,0.06321334856204536,0.06584492405466594,0.05924097387582413
min,0.9713701431492844,0.75,0.6129032258064516,0.6785714285714285
25%,0.9816875249891446,0.8987179487179487,0.8347701149425287,0.8639169472502806
50%,0.9873861247372108,0.935897435897436,0.8850574712643678,0.9090909090909092
75%,0.9920557807862678,0.9687194525904204,0.9069767441860463,0.9324908925318762
max,0.9971969166082691,1.0,0.9698795180722892,0.9757575757575758
